,Data63
x6_TD94,0.07085245847702026
x12_1F,0.06436366587877274
x3_CLASSE PREMIERE CP671,0.06105266138911247
x6_TE55,0.02714620530605316
x6_TB64,0.023049723356962204
"x0_2000D/2P 25EPI (양변부 #2,3 고신도사)",0.022783344611525536
x6_TK80,0.020273370668292046
x6_T107,0.01986617036163807
Data21,0.018797896802425385
x9_BF76,0.01592208817601204
x3_N'FERA Primus QX,0.015904782339930534
x0_HTLS 1500D/2P 47.4/5cm,0.01397418137639761
Data22,0.013686586171388626
x9_B776,0.01326916366815567
x10_B335,0.013136827386915684
x1_WKD_180,0.011444514617323875
Data11,0.011024988256394863
x3_N'blue 4Season Van,0.010502446442842484
x10_BA47,0.010239465162158012
x6_TZ69,0.009951689280569553
x7_CZ34,0.009121767245233059
x10_WB11,0.008050200529396534
x0_CORDENKA SUPER3 1650D/2P 28EPI,0.008022237569093704
x3_N'FERA RU5,0.007949288003146648
x3_EUROVIS Alpine WH1,0.007585498038679361
"x0_PET 1500d/2p 28EPI (양변부 #2,3 고신도사)",0.007352687418460846
x1_SC1875,0.007303230464458466
x3_N'FERA Primus V,0.006875717081129551
x2_[AR/N66] HYBRID 1500/1260,0.006860774476081133
x8_W730,0.006727880798280239
x1_WCD180,0.006705340929329395
x3_N'blue SUPREME,0.006698629353195429
x0_2000D/2P 25EPI,0.006631829775869846
x6_TV62,0.006133596878498793
x3_ROADIAN AT Pro RA8,0.0059151374734938145
x12_1G,0.005877593997865915
x6_TW59,0.005413112696260214
x2_NYLON-66 1260D/2P 25EPI,0.005395657382905483
x3_ROADIAN ATX,0.0051975976675748825
x12_1E,0.005125824827700853
x1_SE2018,0.005109678953886032
x1_WSD240,0.005082633811980486
x3_N'FERA AU7,0.005036539398133755
x6_TB71,0.0050231534987688065
x0_PET 1300D/2P 28EPI,0.004929566755890846
x6_TY62,0.004898376762866974
x6_T390,0.004755588248372078
x7_CE37,0.004581640474498272
Data20,0.004499770235270262
x6_T357,0.004483508877456188
x3_ROADIAN HTX 2,0.0044805812649428844
x1_WHB146,0.004456075374037027
x10_W711,0.004410522524267435
x6_TE92,0.004337718244642019
x1_WKD180,0.00431931484490633
x0_HTLS 1500D/2P-55.1/5cm,0.004281541332602501
x3_CLASSE PREMIERE CP661,0.00423289043828845
x10_WC11,0.004217174369841814
Data17,0.004197466187179089
x7_C934,0.004177371505647898
x1_WSD205,0.0041625527665019035
x6_TZ14,0.004062708001583815
x3_RAPTIS R-T5,0.003970120567828417
x3_N'priz SH9i,0.0039042970165610313
x3_Sceptor 4XS,0.003877058392390609
x1_WHB_146,0.0038335362914949656
x3_ROADIAN GTX,0.003818826749920845
x3_AS-S01,0.0037593345623463392
x6_TB95,0.0037571669090539217
x3_ROADIAN CT8,0.003750234842300415
x6_TD89,0.003586801001802087
x0_1300D/2P 30EPI,0.003373045939952135
x0_1300D/2P 32EPI,0.003354309592396021
Data33,0.0033411781769245863
x6_TV55,0.0033111711964011192
x3_ASPEN GT-AS,0.0032985915895551443
x6_TW73,0.0032668737694621086
x6_TA71,0.0032593540381640196
x6_TY57,0.0032562201377004385
x3_N'FERA Sport SUV,0.0032441234216094017
x6_TZ95,0.0032142021227627993
x0_CORDENKA 700 SUPER3 2200 D/2P 25.4EPI,0.0032054991461336613
x12_1A,0.0031815969850867987
x6_TZ20,0.0031724930740892887
x2_NYLON-66 1260D/1P,0.003171114716678858
x6_TC73,0.0030240649357438087
x1_SB1811,0.0030210758559405804
x2_[AR/N66] HYBRID 1000/840,0.003008783794939518
x0_HTLS 1000D/2P 55.1/5cm,0.002871238626539707
x1_WKD150,0.0028321801219135523
x7_CP27,0.0028297342360019684
x3_N'FERA SUR4G,0.0028065782971680164
x6_TG14,0.002765273442491889
x6_T562,0.00272272783331573
x4_X,0.0026629415806382895
x6_TA57,0.0026572991628199816
x9_RA25,0.0026187284383922815
x3_ARIA AH7,0.002588478848338127
x3_ROADIAN HTX,0.0025734647642821074
x9_RX25,0.0025344756431877613
x6_T430,0.0025231202598661184
x6_TM64,0.002505312440916896
x6_T569,0.002500936621800065
x10_BF35|BF35,0.002474305685609579
x3_N'blue Eco,0.0024517434649169445
x12_2G,0.0024401608388870955
x6_TP64,0.0022959515918046236
x6_TW92,0.0022740650456398726
x6_TR89,0.0021838319953531027
x3_WINGUARD Snow'G 3,0.0021737737115472555
x6_T371,0.0021444589365273714
Data35,0.0021342849358916283
x6_TH14,0.002119741402566433
x2_NYLON-66 840D/2P 28EPI,0.002114013070240617
x6_TW28,0.0021115823183208704
x3_i.Q series 1,0.002093750052154064
x1_WCD150,0.0020837553311139345
Data36,0.0020329903345555067
x6_TV92,0.0020297570154070854
Data15,0.002017337130382657
Data37,0.0020114979706704617
x6_TA64,0.0020109200850129128
x3_N'blue HD,0.001995693426579237
x6_T593,0.0019747314509004354
x3_N'priz AH6TX,0.0019708408508449793
Data27,0.0018171875271946192
x6_TB10,0.0018093000398948789
x3_N'priz 4S,0.00176076905336231
x6_T570,0.0017447811551392078
x6_TA86,0.001737450947985053
x6_TH20,0.0017125647282227874
x7_C938,0.0017081674886867404
x6_TG72,0.0017020509112626314
x6_TA14,0.0017020122613757849
x5_S,0.001696910709142685
x3_TERRA TRAC CROSS-V,0.001696264836937189
x6_TA80,0.0016857559094205499
x4_F,0.0016583242686465383
x6_TC81,0.0016518469201400876
x6_TY14,0.001648186007514596
x6_T314,0.0016356919659301639
x6_TD81,0.0016241155099123716
Data23,0.0016066161915659904
x3_N'priz S EV,0.0015550855314359069
Data26,0.0015304636908695102
x3_N'blue ROYAL,0.0014928512973710895
x3_N'blue Eco AH01,0.0014795471215620637
x0_1260D/2P-50.0/5cm,0.0014453971525654197
x3_Non Pattern,0.0014451006427407265
x6_TZ30,0.0014445969136431813
Data18,0.0014212826499715447
x6_TC24,0.0014054459752514958
Data57,0.001384854898788035
x7_C027,0.0013785383198410273
x6_T694,0.0013593723997473717
x9_BP76,0.001357425469905138
x3_OPERA,0.0013187211006879807
x6_T412,0.0012971757678315043
x6_T594,0.0012968267546966672
x3_N'FERA Primus UX,0.00127649016212672
x3_N'priz AH8,0.0012753522023558617
x3_WINGUARD Snow'G,0.001261617406271398
x6_TF16,0.0012598257744684815
x6_TA27,0.0012494123075157404
x12_2F,0.001240344368852675
x3_WINGUARD WT1,0.0012337884400039911
x6_T750,0.001233373535797
x1_WSD200,0.0012306685093790293
x6_TH39,0.0012144128559157252
x6_TA25,0.0012061112793162465
x3_PV-X1,0.0012027793563902378
x3_Winter LTR,0.0011788057163357735
x6_T326,0.0011765555245801806
x6_T475,0.001131164957769215
x3_N'priz RH1,0.0011128275655210018
Data24,0.0011032118927687407
Data12,0.0010847962694242597
x6_TE64,0.0010741009609773755
x4_D,0.0010715193348005414
x3_ROADIAN HP,0.001051836647093296
x6_TF17,0.0010309858480468392
x6_TJ70,0.0010195410577580333
Data38,0.0009966199286282063
x6_T572,0.0009732907055877149
x4_C,0.0009568989044055343
x6_T374,0.0009406920289620757
x6_T467,0.0009366553276777267
x6_T219,0.0009332015761174262
x6_TB24,0.0009115731809288263
x3_N'priz CX,0.0008967272005975246
x3_N'priz GX,0.0008840398513711989
x6_TX70,0.0008579177083447576
x6_TS59,0.0008553286897949874
x8_WH30,0.0008506423328071833
x6_TA95,0.0008435531053692102
x6_TK70,0.0008286728407256305
x6_TA20,0.0008173918467946351
x10_BK35,0.0008100211853161454
x3_WINGUARD Sport 2 SUV,0.0007809022208675742
x6_T354,0.0007675528177060187
x3_N'priz RH7,0.0007458539912477136
x1_WCP180,0.0007306422921828926
Data39,0.0007246923632919788
x6_T415,0.0007188627496361732
x6_TP20,0.0006911827367730439
x6_TA81,0.0006804984877817333
x3_N'priz AH7,0.0006529747042804956
x6_TE94,0.000627493835054338
x6_T435,0.0006234016036614776
x4_S,0.0006201402866281569
x6_TC19,0.0006181251956149936
x3_N7000,0.0006111553520895541
x3_ROADIAN CTX,0.0005925879813730717
x6_T586,0.0005896116490475833
x6_TC75,0.0005895758513361216
x8_WG30,0.0005672379047609866
x6_TD14,0.0005561853176914155
x9_RP25,0.0005540245911106467
x6_TZ62,0.0005416989442892373
x6_T459,0.0005406051641330123
x6_TZ71,0.0005307961255311966
Data41,0.000521213049069047
x3_N'priz RH7@,0.0005117371911183
x6_TK73,0.000502581475302577
x6_TB67,0.0004877969331573695
Data6,0.00048553955275565386
x6_TE86,0.0004750574298668653
x6_TA29,0.00047037293552421033
x6_TV28,0.0004684976884163916
x10_BH35,0.0004589501768350601
x6_T426,0.0004503056115936488
x6_TA13,0.00044419581536203623
x6_T446,0.00043632902088575065
x6_T534,0.0004316197882872075
x8_WP30,0.0004201103001832962
x6_TY64,0.0004152481851633638
x6_TA73,0.0003996338928118348
x3_EUROVIS HP01,0.0003819179837591946
x6_TB38,0.0003722255933098495
x6_TB54,0.000357671407982707
x6_TF14,0.0003548151580616832
x6_TF62,0.00034714213688857853
x6_TA69,0.00033962339512072504
x6_TA15,0.0003055345150642097
x6_T826,0.00029939995147287846
x6_TA54,0.0002989564382005483
x6_T575,0.0002858872467186302
x3_ROADIAN MTX,0.0002797877532429993
x6_TC95,0.00027697120094671845
x6_TA84,0.0002760582137852907
Data34,0.0002469842729624361
x6_TK64,0.00020859380310866982
x6_T864,0.00020699307788163424
Data19,0.00018227772670798004
x6_TF90,0.00014732833369635046
x8_WK30,0.00014292281412053853
x6_T854,9.714655607240275e-05
x6_T875,9.35695570660755e-05
x6_T549,2.4844648578437045e-05
x1_WMP180,0.0
x3_CLASSE PREMIERE CP672,0.0
x3_CLASSE PREMIERE CP691,0.0
x3_EUROVIS Sport 04,0.0
x3_MI2,0.0
x3_Milecap 2,0.0
x3_N'FERA AU5,0.0
x3_N'FERA Primus,0.0
x3_N'FERA Primus AS T1,0.0
x3_N'FERA RU1,0.0
x3_N'FERA SU1,0.0
x3_N'FERA SU4,0.0
x3_N'FERA SUR4,0.0
x3_N'FERA Sport,0.0
x3_N'blue 4Season,0.0
x3_N'blue 4Season 2,0.0
x3_N'blue EV,0.0
x3_N'blue HD Plus,0.0
x3_N'blue Premium,0.0
x3_N'blue S,0.0
x3_N'priz AH5,0.0
x3_N'priz S,0.0
x3_N5000 Platinum,0.0
x3_N5000 Plus,0.0
x3_N7000 Plus,0.0
x3_N8000,0.0
x3_ROADIAN 542,0.0
x3_ROADIAN HTX RH5,0.0
x3_WINGUARD Snow'G 2,0.0
x3_WINGUARD Sport 2,0.0
x3_WINGUARD WT1R,0.0
x4_E,0.0
x4_R,0.0
x5_T,0.0
x6_T239,0.0
x6_T336,0.0
x6_T342,0.0
x6_T394,0.0
x6_T410,0.0
x6_T425,0.0
x6_T439,0.0
x6_T440,0.0
x6_T455,0.0
x6_T456,0.0
x6_T480,0.0
x6_T495,0.0
x6_T513,0.0
x6_T520,0.0
x6_T521,0.0
x6_T524,0.0
x6_T525,0.0
x6_T537,0.0
x6_T544,0.0
x6_T551,0.0
x6_T554,0.0
x6_T555,0.0
x6_T564,0.0
x6_T566,0.0
x6_T573,0.0
x6_T584,0.0
x6_T585,0.0
x6_T592,0.0
x6_T770,0.0
x6_T856,0.0
x6_TA10,0.0
x6_TA16,0.0
x6_TA24,0.0
x6_TA31,0.0
x6_TA40,0.0
x6_TA45,0.0
x6_TA55,0.0
x6_TA59,0.0
x6_TA62,0.0
x6_TA72,0.0
x6_TA94,0.0
x6_TB14,0.0
x6_TB15,0.0
x6_TB16,0.0
x6_TB19,0.0
x6_TB31,0.0
x6_TB55,0.0
x6_TB59,0.0
x6_TB69,0.0
x6_TB70,0.0
x6_TB80,0.0
x6_TB81,0.0
x6_TB86,0.0
x6_TB89,0.0
x6_TB92,0.0
x6_TB94,0.0
x6_TC13,0.0
x6_TC14,0.0
x6_TC20,0.0
x6_TC30,0.0
x6_TC35,0.0
x6_TC59,0.0
x6_TC64,0.0
x6_TC71,0.0
x6_TC80,0.0
x6_TC86,0.0
x6_TD16,0.0
x6_TD64,0.0
x6_TD86,0.0
x6_TE16,0.0
x6_TE19,0.0
x6_TE26,0.0
x6_TE30,0.0
x6_TE40,0.0
x6_TE75,0.0
x6_TF19,0.0
x6_TF39,0.0
x6_TF80,0.0
x6_TF81,0.0
x6_TF86,0.0
x6_TG17,0.0
x6_TG64,0.0
x6_TG80,0.0
x6_TG81,0.0
x6_TH16,0.0
x6_TH35,0.0
x6_TH75,0.0
x6_TH80,0.0
x6_TJ16,0.0
x6_TJ54,0.0
x6_TJ64,0.0
x6_TJ80,0.0
x6_TJ89,0.0
x6_TK20,0.0
x6_TK30,0.0
x6_TK35,0.0
x6_TK62,0.0
x6_TL14,0.0
x6_TL59,0.0
x6_TM30,0.0
x6_TM54,0.0
x6_TM59,0.0
x6_TM62,0.0
x6_TM72,0.0
x6_TM73,0.0
x6_TN20,0.0
x6_TN30,0.0
x6_TN64,0.0
x6_TN74,0.0
x6_TP30,0.0
x6_TP39,0.0
x6_TP59,0.0
x6_TP73,0.0
x6_TP89,0.0
x6_TP94,0.0
x6_TQ59,0.0
x6_TR15,0.0
x6_TR20,0.0
x6_TR39,0.0
x6_TR62,0.0
x6_TR64,0.0
x6_TR74,0.0
x6_TU40,0.0
x6_TU54,0.0
x6_TU59,0.0
x6_TU71,0.0
x6_TW62,0.0
x6_TW64,0.0
x6_TW71,0.0
x6_TX40,0.0
x6_TX59,0.0
x6_TX71,0.0
x6_TY70,0.0
x6_TY71,0.0
x6_TZ49,0.0
x6_TZ57,0.0
x6_TZ70,0.0
x7_CA27,0.0
x7_CA36,0.0
x7_CB34,0.0
x7_CB36,0.0
x7_CH37,0.0
x7_CJ37,0.0
x7_CP34,0.0
x8_W530,0.0
x8_WC30,0.0
x8_WL30,0.0
x8_WM30,0.0
x8_WP40,0.0
x8_WS30,0.0
x8_WZ30,0.0
x9_B853,0.0
x9_BC76,0.0
x9_BD76,0.0
x9_RS25,0.0
x10_B170,0.0
x10_B170|B170,0.0
x10_BF35,0.0
x10_BP35,0.0
x10_WA11,0.0
x10_WG11,0.0
x11_1P,0.0
x11_2P,0.0
x11_3P,0.0
x12_1H,0.0
Data10,0.0
Data13,0.0
Data14,0.0
Data16,0.0
Data28,0.0
Data29,0.0
Data30,0.0
Data31,0.0
Data32,0.0
Data40,0.0
Data42,0.0
Data51,0.0
Data58,0.0
Data59,0.0
Data60,0.0
